order_id,customer,amount,date,status
ORD-000139,Thomas Jones,445.07,2023-03-30,pending
ORD-000140,James Rodriguez,997.51,2024-06-16,cancelled
ORD-000141,Karen Garcia,1090.16,2023-12-01,shipped
ORD-000142,John Johnson,1739.79,2024-09-12,cancelled
ORD-000143,Charles Smith,1615.33,2024-04-12,delivered
ORD-000144,David Brown,1897.98,2024-04-20,shipped
ORD-000145,Charles Martinez,446.45,2024-09-08,shipped
ORD-000146,Richard Rodriguez,676.51,2023-05-31,delivered
ORD-000147,Jennifer Martinez,713.05,2023-03-03,delivered
ORD-000148,Jennifer Davis,1752.54,2023-03-27,delivered
ORD-000149,David Miller,1238.02,2024-10-01,delivered
ORD-000150,Barbara Rodriguez,54.01,2023-11-03,cancelled
ORD-000151,Charles Smith,1549.01,2023-12-11,shipped
ORD-000152,Mary Garcia,32497.35,2023-01-12,pending
ORD-000153,Robert Miller,742.79,2023-12-23,delivered
ORD-000154,Patricia Brown,678.63,2023-07-28,cancelled
ORD-000155,Linda Smith,432.05,2024-03-28,delivered
ORD-000156,Patricia Miller,497.2,2024-11-27,pending
ORD-000157,William Smith,1010.68,2024-09-11,cancelled
ORD-000158,Robert Martinez,1210.95,2023-09-14,pending
ORD-000159,Sarah Williams,32.96,2023-08-10,cancelled
ORD-000160,Robert Garcia,1617.72,2024-05-14,delivered
ORD-000161,Sarah Smith,1552.77,2024-02-24,delivered
ORD-000162,Susan Miller,800.23,2024-08-31,cancelled
ORD-000163,William Jones,1566.58,2023-04-03,delivered
ORD-000164,Sarah Brown,1426.18,2024-05-12,shipped
ORD-000165,Elizabeth Johnson,1262.63,2024-01-31,cancelled
ORD-000166,Barbara Smith,29.7,2023-06-06,delivered
ORD-000167,James Jones,484.53,2024-10-20,pending
ORD-000168,Robert Garcia,1385.89,2023-08-27,delivered
ORD-000169,Mary Williams,1383.98,2024-11-30,shipped
ORD-000170,Thomas Johnson,745.88,2023-09-07,pending
ORD-000171,Charles Garcia,400.09,2023-05-28,delivered
ORD-000172,Susan Johnson,291.27,2023-08-19,delivered
ORD-000173,Jessica Johnson,921.05,2024-01-23,delivered
ORD-000174,Charles Williams,1061.03,2023-02-21,delivered
ORD-000175,Karen Smith,1173.12,2023-12-13,shipped
ORD-000176,William Rodriguez,1913.82,2024-10-28,cancelled
ORD-000177,Elizabeth Smith,1742.13,2024-08-09,shipped
ORD-000178,Linda Jones,460.96,2023-07-14,delivered
ORD-000179,Linda Garcia,45567.83,2023-01-28,cancelled
ORD-000180,John Brown,11158.18,2024-06-18,delivered
ORD-000181,Jessica Rodriguez,717.97,2023-06-14,shipped
ORD-000182,Mary Brown,158.54,2024-11-09,cancelled
ORD-000183,James Brown,1725.59,2023-10-08,pending
ORD-000184,Linda Johnson,585.8,2023-01-11,pending
ORD-000185,Patricia Brown,1453.83,2023-05-22,pending
ORD-000186,Patricia Jones,574.52,2023-04-12,shipped
ORD-000187,Joseph Rodriguez,738.82,2023-12-06,cancelled
ORD-000188,Susan Jones,834.8,2023-03-18,shipped
ORD-000189,Joseph Smith,550.53,2023-09-17,shipped
ORD-000190,Richard Brown,471.31,2023-11-05,pending
ORD-000191,Sarah Jones,1388.34,2024-09-13,shipped
ORD-000192,John Rodriguez,191.5,2023-03-08,cancelled
ORD-000193,Thomas Brown,1502.1,2023-12-01,delivered
ORD-000194,Jennifer Jones,601.81,2023-02-05,cancelled
ORD-000195,Sarah Rodriguez,880.42,2023-09-06,cancelled
ORD-000196,Charles Garcia,1052.43,2023-11-30,pending
ORD-000197,Robert Brown,48028.29,2024-05-20,pending
ORD-000198,Sarah Davis,1284.62,2024-05-18,cancelled
ORD-000199,Jessica Williams,1068.96,2023-01-05,cancelled
ORD-000200,Thomas Smith,1224.5,2023-04-20,shipped
ORD-000201,Patricia Garcia,259.1,2023-11-15,delivered
ORD-000202,Barbara Brown,1115.57,2023-08-13,pending
ORD-000203,Mary Garcia,274.98,2024-09-28,cancelled
ORD-000204,David Martinez,18.04,2023-01-02,pending
ORD-000205,Patricia Davis,422.01,2024-04-19,cancelled
ORD-000206,John Smith,1586.45,2024-10-27,pending
ORD-000207,Thomas Brown,525.77,2023-01-22,shipped
ORD-000208,David Jones,1571.02,2024-02-29,shipped
ORD-000209,Susan Brown,557.4,2024-07-26,pending
ORD-000210,Charles Martinez,1400.64,2024-08-12,delivered
ORD-000211,David Rodriguez,1827.18,2023-01-13,cancelled
ORD-000212,David Smith,1513.41,2024-01-04,pending
ORD-000213,Richard Williams,977.42,2024-03-06,cancelled
ORD-000214,Karen Williams,1736.7,2023-10-08,delivered
ORD-000215,Barbara Smith,1825.78,2024-10-14,pending
ORD-000216,Richard Jones,513.42,2023-10-06,delivered
ORD-000217,Mary Smith,1531.2,2024-09-26,delivered
ORD-000218,Jennifer Jones,1881.99,2024-01-10,pending
ORD-000219,Susan Brown,1497.45,2023-11-19,cancelled
ORD-000220,Patricia Johnson,1464.87,2023-08-19,pending
ORD-000221,John Martinez,827.46,2023-01-16,pending
ORD-000222,David Brown,946.89,2024-03-02,shipped
ORD-000223,William Miller,962.54,2023-01-19,cancelled
ORD-000224,Susan Davis,39.22,2023-10-27,pending
ORD-000225,Barbara Jones,1272.24,2024-11-15,shipped
ORD-000226,Thomas Brown,525.77,2023-10-18,delivered
ORD-000227,Linda Davis,1462.96,2023-03-15,delivered
ORD-000228,Jessica Brown,1702.41,2024-08-20,pending
ORD-000229,David Jones,759.61,2023-11-19,delivered
ORD-000230,Karen Rodriguez,813.24,2024-01-18,delivered
ORD-000231,Joseph Brown,793.03,2023-12-27,pending
ORD-000232,Joseph Brown,1512.26,2023-01-17,delivered
ORD-000233,John Johnson,1087.42,2023-04-10,delivered
ORD-000234,Karen Rodriguez,1883.45,2024-06-22,shipped
ORD-000235,Mary Davis,1808.4,2024-05-01,delivered
ORD-000236,Linda Jones,1139.85,2024-09-21,delivered
ORD-000237,Mary Davis,241.36,2023-11-08,delivered
ORD-000238,Thomas Williams,96.98,2023-08-28,cancelled
ORD-000239,Robert Jones,824.41,2023-07-15,cancelled
ORD-000240,Robert Rodriguez,1143.19,2023-06-14,shipped
ORD-000241,Linda Davis,1598.72,2024-10-22,shipped
ORD-000242,Mary Garcia,1219.29,2023-05-23,shipped
ORD-000243,Richard Jones,1723.35,2024-09-03,cancelled
ORD-000244,Elizabeth Brown,213.42,2023-10-08,delivered
ORD-000245,Charles Miller,266.56,2024-08-18,pending
ORD-000246,Jennifer Miller,765.17,2024-06-16,pending
ORD-000247,Jennifer Johnson,78.08,2024-06-06,shipped
ORD-000248,Mary Martinez,1380.83,2024-01-11,delivered
ORD-000249,Michael Martinez,702.36,2024-11-21,cancelled
ORD-000250,Charles Williams,1435.4,2023-01-29,cancelled
ORD-000251,William Brown,1604.41,2024-03-15,pending
ORD-000252,Patricia Brown,680.5,2023-06-04,cancelled
ORD-000253,James Jones,1217.82,2023-09-25,pending
ORD-000254,Barbara Garcia,786.97,2023-01-19,shipped
ORD-000255,John Williams,537.91,2023-10-04,pending
ORD-000256,Richard Smith,1500.36,2023-08-04,pending
ORD-000257,Richard Jones,1031.93,2024-09-30,cancelled
ORD-000258,Charles Davis,167.37,2023-08-12,pending
ORD-000259,Joseph Miller,1623.46,2023-02-03,shipped
ORD-000260,James Rodriguez,961.45,2023-07-03,cancelled
ORD-000261,Karen Brown,1451.53,2023-12-02,pending
ORD-000262,James Smith,1420.55,2023-07-21,pending
ORD-000263,Richard Garcia,992.41,2023-10-10,shipped
ORD-000264,Karen Garcia,511.17,2024-08-17,cancelled
ORD-000265,Mary Smith,779.03,2024-06-09,shipped
ORD-000266,Joseph Jones,136.48,2023-07-11,delivered
ORD-000267,Karen Johnson,157.85,2024-01-13,pending
ORD-000268,Jennifer Rodriguez,936.94,2024-03-11,delivered
ORD-000269,Sarah Rodriguez,1977.65,2024-07-05,cancelled
ORD-000270,Charles Johnson,965.34,2024-04-25,pending
ORD-000271,Linda Jones,1934.02,2024-05-28,pending
ORD-000272,Mary Davis,500.54,2024-03-12,cancelled
ORD-000273,John Davis,370.62,2023-12-08,cancelled
ORD-000274,Jessica Miller,1805.11,2023-12-25,delivered
ORD-000275,Mary Garcia,1345.53,2023-09-13,shipped
ORD-000276,Karen Brown,1887.14,2023-01-26,delivered
ORD-000277,Joseph Miller,1721.47,2023-09-02,delivered
ORD-000278,Patricia Garcia,762.79,2024-02-23,cancelled
ORD-000279,James Garcia,1943.81,2023-02-03,pending
ORD-000280,Sarah Miller,522.14,2024-12-01,delivered
ORD-000281,Jessica Johnson,1530.25,2023-12-31,shipped
ORD-000282,Joseph Smith,33069.95,2023-07-03,pending
ORD-000283,Charles Jones,385.31,2023-08-29,cancelled
ORD-000284,Karen Johnson,1290.41,2023-09-22,cancelled
ORD-000285,Richard Martinez,733.78,2023-09-06,pending
ORD-000286,Susan Brown,751.27,2023-07-24,delivered
ORD-000287,Joseph Brown,824.89,2024-11-27,cancelled
ORD-000288,Elizabeth Williams,128.34,2023-05-11,cancelled
ORD-000289,Jessica Williams,805.45,2024-11-02,delivered
ORD-000290,Robert Miller,1248.97,2023-09-21,shipped
ORD-000291,Jessica Smith,1410.38,2023-05-26,delivered
ORD-000292,Mary Miller,264.76,2023-02-28,delivered
ORD-000293,Joseph Williams,802.77,2023-04-18,delivered
ORD-000294,Sarah Brown,1366.33,2024-08-16,shipped
ORD-000295,William Davis,1366.97,2023-12-08,pending
ORD-000296,Thomas Davis,38383.29,2024-09-09,cancelled
ORD-000297,James Martinez,935.04,2023-01-01,shipped
ORD-000298,William Brown,488.93,2023-02-17,delivered
ORD-000299,Karen Martinez,706.52,2023-10-29,cancelled
ORD-000300,Sarah Martinez,1296.68,2024-03-27,shipped
ORD-000301,William Rodriguez,1194.06,2024-07-02,shipped
ORD-000302,Jessica Rodriguez,981.0,2023-03-03,pending
ORD-000303,Sarah Miller,856.11,2023-03-09,pending
ORD-000304,Mary Brown,1369.93,2023-05-27,cancelled
ORD-000305,Robert Johnson,580.59,2024-02-25,shipped
ORD-000306,Jessica Garcia,1527.67,2024-10-06,shipped
ORD-000307,Richard Brown,1352.6,2024-07-05,delivered
ORD-000308,Michael Davis,975.71,2024-08-11,shipped
ORD-000309,Jennifer Garcia,1738.22,2024-03-23,cancelled
ORD-000310,James Williams,1564.09,2024-08-28,delivered
ORD-000311,Michael Jones,1922.91,2024-05-17,pending
ORD-000312,Robert Rodriguez,926.75,2023-06-28,cancelled
ORD-000313,Robert Davis,1739.48,2024-08-26,delivered
ORD-000314,David Martinez,629.18,2024-08-15,pending
ORD-000315,John Garcia,596.01,2023-08-12,pending
ORD-000316,William Garcia,760.97,2023-02-15,delivered
ORD-000317,Thomas Garcia,1748.3,2023-08-07,pending
ORD-000318,Richard Johnson,1052.76,2024-08-26,cancelled
ORD-000319,William Williams,1827.05,2023-06-10,cancelled
ORD-000320,William Martinez,438.81,2024-08-28,cancelled
ORD-000321,Jessica Garcia,1260.85,2023-10-18,shipped
ORD-000322,Charles Miller,43597.25,2024-10-05,cancelled
ORD-000323,Elizabeth Garcia,15.62,2023-01-27,pending
ORD-000324,Jessica Martinez,1973.24,2024-08-30,shipped
ORD-000325,Robert Garcia,558.86,2024-04-11,pending
ORD-000326,Jennifer Martinez,429.61,2023-12-16,pending
ORD-000327,William Jones,34.95,2024-05-21,delivered
ORD-000328,Mary Martinez,1639.18,2024-09-29,cancelled
ORD-000329,Robert Martinez,1437.22,2023-12-07,delivered
ORD-000330,Jessica Brown,1869.13,2024-04-25,cancelled
ORD-000331,Elizabeth Smith,1770.02,2024-09-21,pending
ORD-000332,William Brown,620.32,2023-05-13,pending
ORD-000333,Barbara Smith,233.21,2024-03-06,shipped
ORD-000334,Karen Rodriguez,888.87,2023-11-14,shipped
ORD-000335,Robert Martinez,828.87,2024-01-26,pending
ORD-000336,Michael Rodriguez,472.28,2023-07-14,pending
ORD-000337,Mary Jones,789.1,2023-02-28,delivered
ORD-000338,Richard Rodriguez,14.2,2023-01-13,delivered
ORD-000339,Sarah Garcia,1509.39,2023-07-03,delivered
ORD-000340,Charles Smith,1840.95,2023-01-03,shipped
ORD-000341,Robert Johnson,1989.93,2023-10-22,cancelled
ORD-000342,Mary Jones,720.54,2023-09-12,shipped
ORD-000343,Joseph Smith,659.85,2024-03-19,cancelled
ORD-000344,Sarah Rodriguez,1125.75,2023-06-13,shipped
ORD-000345,Karen Martinez,457.69,2023-09-07,delivered
ORD-000346,John Martinez,1449.05,2023-07-27,cancelled
ORD-000347,David Martinez,1235.88,2023-06-19,pending
ORD-000348,Jessica Rodriguez,5313.19,2023-07-11,cancelled
ORD-000349,John Miller,1345.08,2023-06-29,shipped
ORD-000350,Susan Brown,737.51,2024-11-09,pending
ORD-000351,Jessica Brown,1773.1,2024-11-13,pending
ORD-000352,Elizabeth Miller,1030.64,2024-01-27,delivered
ORD-000353,Thomas Williams,548.98,2023-04-03,shipped
ORD-000354,Sarah Johnson,822.31,2024-09-22,pending
ORD-000355,Susan Jones,1587.2,2023-11-02,delivered
ORD-000356,Sarah Davis,1986.92,2024-08-31,shipped
ORD-000357,Richard Martinez,29.99,2023-05-12,cancelled
ORD-000358,Patricia Brown,1332.18,2024-07-27,cancelled
ORD-000359,Sarah Davis,369.14,2024-04-29,delivered
ORD-000360,Jessica Jones,503.43,2024-02-07,shipped
ORD-000361,Karen Johnson,1818.09,2024-08-05,cancelled
ORD-000362,Robert Rodriguez,134.34,2023-09-11,cancelled
ORD-000363,Barbara Miller,875.29,2024-06-13,shipped
ORD-000364,Karen Martinez,104.58,2024-02-02,delivered
ORD-000365,Sarah Davis,383.3,2023-03-04,pending
ORD-000366,Elizabeth Rodriguez,1092.1,2023-09-18,pending
ORD-000367,Charles Jones,1274.73,2023-07-23,pending
ORD-000368,Sarah Brown,143.1,2024-01-31,pending
ORD-000369,Charles Martinez,37.65,2023-11-08,delivered
ORD-000370,William Rodriguez,1549.65,2023-04-30,delivered
ORD-000371,Jennifer Garcia,725.84,2023-09-05,pending
ORD-000372,Elizabeth Miller,299.59,2024-05-04,pending
ORD-000373,Charles Smith,749.71,2024-09-22,shipped
ORD-000374,Linda Brown,1755.01,2024-07-15,delivered
ORD-000375,James Davis,1016.28,2024-02-21,shipped
ORD-000376,Jennifer Brown,1195.49,2024-08-28,pending
ORD-000377,Elizabeth Williams,1836.59,2024-10-31,delivered
ORD-000378,Robert Williams,1097.94,2023-05-14,cancelled
ORD-000379,Jessica Johnson,711.7,2024-11-19,delivered
ORD-000380,William Martinez,1530.11,2023-12-10,delivered
ORD-000381,Thomas Garcia,1067.92,2024-06-23,shipped
ORD-000382,Charles Smith,324.5,2024-03-29,delivered
ORD-000383,David Miller,725.01,2024-11-20,cancelled
ORD-000384,Karen Johnson,1314.31,2024-11-10,pending
ORD-000385,Patricia Smith,1046.92,2023-09-08,cancelled
ORD-000386,Thomas Davis,1043.04,2024-05-06,delivered
ORD-000387,John Johnson,733.41,2024-01-18,shipped
ORD-000388,Richard Rodriguez,1156.05,2024-05-19,delivered
ORD-000389,John Miller,1123.66,2024-01-30,shipped
ORD-000390,Jessica Smith,53.08,2023-03-13,delivered
ORD-000391,Jennifer Garcia,1718.81,2023-08-27,shipped
ORD-000392,David Jones,1982.98,2024-03-01,pending
ORD-000393,David Davis,1169.74,2024-01-20,delivered
ORD-000394,Joseph Davis,162.76,2023-07-02,delivered
ORD-000395,Mary Jones,33483.61,2024-09-05,cancelled
ORD-000396,John Martinez,1352.61,2023-10-25,pending
ORD-000397,Linda Smith,507.69,2024-08-29,pending
ORD-000398,William Rodriguez,1523.54,2023-12-05,delivered
ORD-000399,Mary Garcia,109.44,2024-08-08,cancelled
ORD-000400,Joseph Brown,88.23,2024-05-20,cancelled
ORD-000401,Elizabeth Davis,1712.43,2024-08-11,pending
ORD-000402,James Miller,1001.54,2024-11-26,cancelled
ORD-000403,Susan Brown,1136.74,2023-03-28,pending
ORD-000404,Elizabeth Brown,1609.47,2023-06-20,pending
ORD-000405,Patricia Smith,1072.19,2023-12-12,pending
ORD-000406,Jennifer Garcia,713.97,2023-09-21,pending
ORD-000407,David Brown,630.24,2024-06-13,cancelled
ORD-000408,Mary Brown,1137.28,2023-10-05,delivered
ORD-000409,Susan Smith,1560.28,2024-03-07,pending
ORD-000410,Jessica Williams,1186.48,2023-12-02,cancelled
ORD-000411,Thomas Rodriguez,1365.81,2023-02-28,pending
ORD-000412,Sarah Davis,689.46,2023-06-08,cancelled
ORD-000413,Mary Jones,910.41,2023-01-18,pending
ORD-000414,John Jones,749.21,2023-10-28,pending
ORD-000415,Thomas Jones,317.87,2024-11-10,delivered
ORD-000416,Karen Smith,1835.38,2023-05-20,shipped
ORD-000417,John Williams,1277.62,2024-04-05,pending
ORD-000418,Linda Williams,1514.06,2024-01-21,delivered
ORD-000419,Thomas Martinez,548.4,2023-01-19,cancelled
ORD-000420,Thomas Jones,21849.25,2023-03-25,delivered
ORD-000421,Joseph Davis,1168.08,2023-04-08,delivered
ORD-000422,Sarah Rodriguez,271.19,2024-11-17,delivered
ORD-000423,Richard Johnson,1804.2,2024-04-13,pending
ORD-000424,Sarah Brown,90.99,2023-06-11,cancelled
ORD-000425,Joseph Smith,1963.45,2023-02-27,shipped
ORD-000426,Elizabeth Johnson,1485.68,2023-05-29,delivered
ORD-000427,Barbara Martinez,942.57,2024-01-03,pending
ORD-000428,Karen Smith,201.54,2024-01-03,shipped
ORD-000429,Linda Davis,1572.79,2024-05-03,shipped
ORD-000430,Jennifer Johnson,22.09,2024-08-30,shipped
ORD-000431,Sarah Miller,1401.82,2024-11-23,cancelled
ORD-000432,Joseph Johnson,1225.88,2024-06-06,delivered
ORD-000433,Mary Davis,1502.15,2023-04-19,delivered
ORD-000434,Thomas Garcia,1177.78,2024-01-19,pending
ORD-000435,Jessica Brown,39150.36,2024-01-03,delivered
ORD-000436,Jessica Smith,1209.72,2023-07-11,cancelled
ORD-000437,Barbara Johnson,117.87,2024-02-13,pending
ORD-000438,Sarah Brown,1720.98,2023-11-08,cancelled
ORD-000439,William Rodriguez,447.49,2023-08-03,shipped
ORD-000440,Mary Williams,231.18,2024-08-25,cancelled
ORD-000441,David Smith,674.64,2023-08-04,shipped
ORD-000442,Elizabeth Smith,114.81,2023-06-19,pending
ORD-000443,Joseph Brown,748.23,2023-07-03,shipped
ORD-000444,Jessica Rodriguez,1983.09,2023-06-16,cancelled
ORD-000445,Michael Smith,1715.82,2024-01-13,delivered
ORD-000446,Michael Smith,1533.97,2023-07-23,shipped
ORD-000447,William Martinez,1185.14,2023-06-11,cancelled
ORD-000448,Jessica Johnson,836.45,2024-07-01,pending
ORD-000449,Richard Miller,452.71,2023-08-08,cancelled
ORD-000450,Karen Johnson,144.86,2023-09-03,shipped
ORD-000451,Robert Rodriguez,1612.94,2024-07-14,cancelled
ORD-000452,Linda Rodriguez,235.25,2024-11-21,cancelled
ORD-000453,Jessica Brown,1391.78,2023-02-16,shipped
ORD-000454,Thomas Jones,354.35,2023-04-05,delivered
ORD-000455,Michael Rodriguez,1558.74,2024-08-11,shipped
ORD-000456,Linda Martinez,1767.45,2023-10-29,cancelled
ORD-000457,James Miller,1555.83,2023-04-12,shipped
ORD-000458,Michael Smith,479.13,2023-10-11,pending
ORD-000459,Michael Jones,803.35,2023-06-05,cancelled
ORD-000460,David Johnson,647.14,2024-06-09,shipped
ORD-000461,Joseph Miller,518.35,2023-10-25,pending
